,bodyPart,equipment,gifUrl,id,name,target
212,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3533.gif,3533,quads,quads
213,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3201.gif,3201,quarter sit-up,abs
214,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3552.gif,3552,quick feet v. 2,quads
215,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/0666.gif,0666,raise single arm push-up,pectorals
216,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0668.gif,0668,rear decline bridge,glutes
217,shoulders,body weight,http://d205bpvrqc9yn1.cloudfront.net/0669.gif,0669,rear deltoid stretch,delts
218,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0670.gif,0670,rear pull-up,lats
219,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0872.gif,0872,reverse crunch,abs
220,upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/0672.gif,0672,reverse dip,triceps
221,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0674.gif,0674,reverse grip pull-up,lats
222,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1423.gif,1423,reverse hyper on flat bench,glutes
223,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3663.gif,3663,reverse plank with leg lift,abs
224,upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/0677.gif,0677,ring dips,triceps
225,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/2571.gif,2571,rocking frog stretch,glutes
226,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0678.gif,0678,rocky pull-up pulldown,lats
227,cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/0685.gif,0685,run,cardiovascular system
228,cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/0684.gif,0684,run (equipment),cardiovascular system
229,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1585.gif,1585,runners stretch,hamstrings
230,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0687.gif,0687,russian twist,abs
231,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/3012.gif,3012,scapula dips,traps
232,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/3021.gif,3021,scapula push-up,serratus anterior
233,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0688.gif,0688,scapular pull-up,traps
234,cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/3219.gif,3219,scissor jumps (male),cardiovascular system
235,lower legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1390.gif,1390,seated calf stretch (male),calves
236,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1424.gif,1424,seated glute stretch,glutes
237,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0689.gif,0689,seated leg raise,abs
238,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0690.gif,0690,seated lower back stretch,lats
239,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/2567.gif,2567,seated piriformis stretch,glutes
240,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0691.gif,0691,seated side crunch (wall),abs
241,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1587.gif,1587,seated wide angle pose sequence,hamstrings
